"Year","County","Population"
2003,Pitkin,16275.0
2003,Prowers,13822.0
2003,Pueblo,147972.0
2003,Rio Blanco,5855.0
2003,Rio Grande,12619.0
2003,Routt,21128.0
2003,Saguache,6279.0
2003,San Juan,615.0
2003,San Miguel,7010.0
2003,Sedgwick,2715.0
2003,Summit,26706.0
2003,Teller,22218.0
2003,Washington,5140.0
2003,Weld,207157.0
2003,Yuma,10093.0
2004,Adams,385945.0
2004,Alamosa,15406.0
2004,Arapahoe,523715.0
2004,Archuleta,11171.0
2004,Baca,4166.0
2004,Bent,6357.0
2004,Boulder,283288.0
2004,Broomfield,46406.0
2004,Chaffee,16946.0
2004,Cheyenne,2070.0
2004,Clear Creek,9461.0
2004,Conejos,8501.0
2004,Costilla,3802.0
2004,Crowley,5432.0
2004,Custer,3984.0
2004,Delta,29453.0
2004,Denver,560230.0
2004,Dolores,1873.0
2004,Douglas,233646.0
2004,Eagle,46485.0
2004,El Paso,558455.0
2004,Elbert,22041.0
2004,Fremont,46540.0
2004,Garfield,48156.0
2004,Gilpin,4825.0
2004,Grand,13912.0
2004,Gunnison,14230.0
2004,Hinsdale,831.0
2004,Huerfano,7729.0
2004,Jackson,1521.0
2004,Jefferson,524876.0
2004,Kiowa,1523.0
2004,Kit Carson,8257.0
2004,La Plata,46926.0
2004,Lake,7416.0
2004,Larimer,273269.0
2004,Las Animas,15700.0
2004,Lincoln,5907.0
2004,Logan,22181.0
2004,Mesa,126626.0
2004,Mineral,842.0
2004,Moffat,13063.0
2004,Montezuma,24607.0
2004,Montrose,36131.0
2004,Morgan,27912.0
2004,Otero,19561.0
2004,Ouray,4023.0
2004,Park,15913.0
2004,Phillips,4580.0
2004,Pitkin,16077.0
2004,Prowers,13656.0
2004,Pueblo,148720.0
2004,Rio Blanco,5904.0
2004,Rio Grande,12824.0
2004,Routt,21293.0
2004,Saguache,6240.0
2004,San Juan,635.0
2004,San Miguel,7027.0
2004,Sedgwick,2606.0
2004,Summit,26707.0
2004,Teller,22218.0
2004,Washington,5060.0
2004,Weld,214069.0
2004,Yuma,9885.0
2005,Adams,395384.0
2005,Alamosa,15395.0
2005,Arapahoe,528214.0
2005,Archuleta,11402.0
2005,Baca,4098.0
2005,Bent,6261.0
2005,Boulder,282910.0
2005,Broomfield,48251.0
2005,Chaffee,17022.0
2005,Cheyenne,2041.0
2005,Clear Creek,9392.0
2005,Conejos,8500.0
2005,Costilla,3695.0
2005,Crowley,5437.0
2005,Custer,4045.0
2005,Delta,29412.0
2005,Denver,559459.0
2005,Dolores,1888.0
2005,Douglas,244442.0
2005,Eagle,47278.0
2005,El Paso,569322.0
2005,Elbert,22259.0
2005,Fremont,46447.0
2005,Garfield,49256.0
2005,Gilpin,4892.0
2005,Grand,13897.0
2005,Gunnison,14473.0
2005,Hinsdale,813.0
2005,Huerfano,7823.0
2005,Jackson,1492.0
2005,Jefferson,523517.0
2005,Kiowa,1543.0
2005,Kit Carson,7998.0
2005,La Plata,47713.0
2005,Lake,7284.0
2005,Larimer,275873.0
2005,Las Animas,15570.0
2005,Lincoln,5787.0
2005,Logan,22088.0
2005,Mesa,128999.0
2005,Mineral,806.0
2005,Moffat,12965.0
2005,Montezuma,24603.0
2005,Montrose,36997.0
2005,Morgan,27947.0
2005,Otero,19370.0
2005,Ouray,4084.0
2005,Park,16061.0
2005,Phillips,4548.0
2005,Pitkin,16136.0
2005,Prowers,13510.0
2005,Pueblo,149969.0
2005,Rio Blanco,5818.0
2005,Rio Grande,12696.0
2005,Routt,21453.0
2005,Saguache,6284.0
2005,San Juan,645.0
2005,San Miguel,7045.0
2005,Sedgwick,2578.0
2005,Summit,26623.0
2005,Teller,22505.0
2005,Washington,4995.0
2005,Weld,223432.0
2005,Yuma,9892.0
2006,Adams,407587.0
2006,Alamosa,15350.0
2006,Arapahoe,536051.0
2006,Archuleta,11798.0
2006,Baca,4088.0
2006,Bent,6076.0
2006,Boulder,286133.0
2006,Broomfield,51152.0
2006,Chaffee,16984.0
2006,Cheyenne,1977.0
2006,Clear Creek,9279.0
2006,Conejos,8470.0
2006,Costilla,3698.0
2006,Crowley,5713.0
2006,Custer,4017.0
2006,Delta,29702.0
2006,Denver,562862.0
2006,Dolores,1990.0
2006,Douglas,257833.0
2006,Eagle,48214.0
2006,El Paso,582502.0
2006,Elbert,22527.0
2006,Fremont,46703.0
2006,Garfield,51106.0
2006,Gilpin,4953.0
2006,Grand,14135.0
2006,Gunnison,14650.0
2006,Hinsdale,830.0
2006,Huerfano,7750.0
2006,Jackson,1443.0
2006,Jefferson,524579.0
2006,Kiowa,1514.0
2006,Kit Carson,7946.0
2006,La Plata,48408.0
2006,Lake,7217.0
2006,Larimer,281027.0
2006,Las Animas,15552.0
2006,Lincoln,5665.0
2006,Logan,22267.0
2006,Mesa,133128.0
2006,Mineral,789.0
2006,Moffat,13102.0
2006,Montezuma,25017.0
2006,Montrose,37968.0
2006,Morgan,27983.0
2006,Otero,19193.0
2006,Ouray,4137.0
2006,Park,16128.0
2006,Phillips,4504.0
2006,Pitkin,16087.0
2006,Prowers,13208.0
2006,Pueblo,152064.0
2006,Rio Blanco,5981.0
2006,Rio Grande,12439.0
2006,Routt,21886.0
2006,Saguache,6241.0
2006,San Juan,672.0
2006,San Miguel,7059.0
2006,Sedgwick,2515.0
2006,Summit,26839.0
2006,Teller,22791.0
2006,Washington,4981.0
2006,Weld,231283.0
2006,Yuma,9917.0
2007,Adams,415915.0
2007,Alamosa,15293.0
2007,Arapahoe,545882.0
2007,Archuleta,12108.0
2007,Baca,3993.0
2007,Bent,5773.0
2007,Boulder,288757.0
2007,Broomfield,53328.0
2007,Chaffee,17238.0
2007,Cheyenne,1910.0
2007,Clear Creek,9333.0
2007,Conejos,8433.0
2007,Costilla,3676.0
2007,Crowley,5907.0
2007,Custer,4130.0
2007,Delta,29877.0
2007,Denver,570437.0
2007,Dolores,2001.0
2007,Douglas,268599.0
2007,Eagle,49284.0
2007,El Paso,588772.0
2007,Elbert,22478.0
2007,Fremont,46654.0
2007,Garfield,52676.0
2007,Gilpin,4964.0
2007,Grand,14339.0
2007,Gunnison,14957.0
2007,Hinsdale,845.0
2007,Huerfano,7658.0
2007,Jackson,1422.0
2007,Jefferson,527120.0
2007,Kiowa,1471.0
2007,Kit Carson,7835.0
2007,La Plata,49146.0
2007,Lake,7271.0
2007,Larimer,286754.0
2007,Las Animas,15525.0
2007,Lincoln,5571.0
2007,Logan,22403.0
2007,Mesa,137390.0
2007,Mineral,803.0
2007,Moffat,13270.0
2007,Montezuma,25177.0
2007,Montrose,39131.0
2007,Morgan,27848.0
2007,Otero,18937.0
2007,Ouray,4274.0
2007,Park,16336.0
2007,Phillips,4484.0
2007,Pitkin,16236.0
2007,Prowers,12772.0
2007,Pueblo,154759.0
2007,Rio Blanco,6093.0
2007,Rio Grande,12167.0
2007,Routt,22415.0
2007,Saguache,6159.0
2007,San Juan,686.0
2007,San Miguel,7276.0
2007,Sedgwick,2422.0
2007,Summit,27163.0
2007,Teller,23164.0
2007,Washington,4927.0
2007,Weld,238279.0
2007,Yuma,9881.0
2008,Adams,425138.0
2008,Alamosa,15346.0
2008,Arapahoe,556246.0
2008,Archuleta,12074.0
2008,Baca,3906.0
2008,Bent,6008.0
2008,Boulder,291827.0
2008,Broomfield,54400.0
2008,Chaffee,17403.0
2008,Cheyenne,1898.0
2008,Clear Creek,9294.0
2008,Conejos,8384.0
2008,Costilla,3611.0
2008,Crowley,5893.0
2008,Custer,4119.0
2008,Delta,30342.0
2008,Denver,581903.0
2008,Dolores,2074.0
2008,Douglas,276740.0
2008,Eagle,50301.0
2008,El Paso,599060.0
2008,Elbert,22663.0
2008,Fremont,46774.0
2008,Garfield,54226.0
2008,Gilpin,5084.0
2008,Grand,14535.0
2008,Gunnison,15137.0
2008,Hinsdale,824.0
2008,Huerfano,7680.0
2008,Jackson,1381.0
2008,Jefferson,530565.0
2008,Kiowa,1432.0
2008,Kit Carson,8042.0
2008,La Plata,50073.0
2008,Lake,7269.0
2008,Larimer,292394.0
2008,Las Animas,15486.0
2008,Lincoln,5522.0
2008,Logan,22324.0
2008,Mesa,140680.0
2008,Mineral,767.0
2008,Moffat,13446.0
2008,Montezuma,25200.0
2008,Montrose,39952.0
2008,Morgan,27746.0
2008,Otero,18853.0
2008,Ouray,4407.0
2008,Park,16278.0
2008,Phillips,4451.0
2008,Pitkin,16673.0
2008,Prowers,12682.0
2008,Pueblo,156252.0
2008,Rio Blanco,6160.0
2008,Rio Grande,12105.0
2008,Routt,22931.0
2008,Saguache,6176.0
2008,San Juan,698.0
2008,San Miguel,7304.0
2008,Sedgwick,2420.0
2008,Summit,27464.0
2008,Teller,23102.0
2008,Washington,4802.0
2008,Weld,244116.0
2008,Yuma,9895.0
2009,Adams,436323.0
2009,Alamosa,15301.0
2009,Arapahoe,566480.0
2009,Archuleta,11899.0
2009,Baca,3814.0
2009,Bent,6481.0
2009,Boulder,293641.0
2009,Broomfield,55378.0
2009,Chaffee,17604.0
2009,Cheyenne,1833.0
2009,Clear Creek,9060.0
2009,Conejos,8210.0
2009,Costilla,3505.0
2009,Crowley,5803.0
2009,Custer,4166.0
2009,Delta,30625.0
2009,Denver,595573.0
2009,Dolores,2052.0
2009,Douglas,282163.0
2009,Eagle,51520.0
2009,El Paso,608518.0
2009,Elbert,22890.0
2009,Fremont,46635.0
2009,Garfield,55400.0
2009,Gilpin,5396.0
2009,Grand,14664.0
2009,Gunnison,15266.0
2009,Hinsdale,827.0
2009,Huerfano,6710.0
2009,Jackson,1386.0
2009,Jefferson,532606.0
2009,Kiowa,1392.0
2009,Kit Carson,8269.0
2009,La Plata,50759.0
2009,Lake,7174.0
2009,Larimer,297502.0
2009,Las Animas,15477.0
2009,Lincoln,5463.0
2009,Logan,22517.0
2009,Mesa,144795.0
2009,Mineral,714.0
2009,Moffat,13544.0
2009,Montezuma,25365.0
2009,Montrose,40680.0
2009,Morgan,28026.0
2009,Otero,18844.0
2009,Ouray,4372.0
2009,Park,15971.0
2009,Phillips,4454.0
2009,Pitkin,17053.0
2009,Prowers,12576.0
2009,Pueblo,157324.0
2009,Rio Blanco,6317.0
2009,Rio Grande,11995.0
2009,Routt,23325.0
2009,Saguache,6126.0
2009,San Juan,687.0
2009,San Miguel,7267.0
2009,Sedgwick,2376.0
2009,Summit,27783.0
2009,Teller,23205.0
2009,Washington,4777.0
2009,Weld,248959.0
2009,Yuma,10036.0
2010,Adams,443709.0
2010,Alamosa,15454.0
2010,Arapahoe,574808.0
2010,Archuleta,12082.0
2010,Baca,3765.0
2010,Bent,6523.0
2010,Boulder,295610.0
2010,Broomfield,56098.0
2010,Chaffee,17835.0
2010,Cheyenne,1811.0
2010,Clear Creek,9083.0
2010,Conejos,8293.0
2010,Costilla,3549.0
2010,Crowley,5850.0
2010,Custer,4248.0
2010,Delta,30897.0
2010,Denver,604875.0
2010,Dolores,2084.0
2010,Douglas,287119.0
2010,Eagle,52064.0
2010,El Paso,627238.0
2010,Elbert,23140.0
2010,Fremont,46856.0
2010,Garfield,56153.0
2010,Gilpin,5461.0
2010,Grand,14790.0
2010,Gunnison,15314.0
2010,Hinsdale,825.0
2010,Huerfano,6639.0
2010,Jackson,1417.0
2010,Jefferson,535648.0
2010,Kiowa,1410.0
2010,Kit Carson,8259.0
2010,La Plata,51443.0
2010,Lake,7288.0
2010,Larimer,300545.0
2010,Las Animas,15383.0
2010,Lincoln,5502.0
2010,Logan,22291.0
2010,Mesa,146587.0
2010,Mineral,728.0
2010,Moffat,13812.0
2010,Montezuma,25515.0
2010,Montrose,41179.0
2010,Morgan,28213.0
2010,Otero,18875.0
2010,Ouray,4471.0
2010,Park,16277.0
2010,Phillips,4467.0
2010,Pitkin,17147.0
2010,Prowers,12527.0
2010,Pueblo,159464.0
2010,Rio Blanco,6634.0
2010,Rio Grande,12018.0
2010,Routt,23451.0
2010,Saguache,6101.0
2010,San Juan,713.0
2010,San Miguel,7393.0
2010,Sedgwick,2403.0
2010,Summit,28078.0
2010,Teller,23402.0
2010,Washington,4851.0
2010,Weld,254240.0
2010,Yuma,10030.0
2011,Adams,451749.0
2011,Alamosa,15679.0
2011,Arapahoe,585507.0
2011,Archuleta,12003.0
2011,Baca,3799.0
2011,Bent,6304.0
2011,Boulder,300171.0
2011,Broomfield,57211.0
2011,Chaffee,18012.0
2011,Cheyenne,1864.0
2011,Clear Creek,9070.0
2011,Conejos,8282.0
2011,Costilla,3647.0
2011,Crowley,5817.0
2011,Custer,4227.0
2011,Delta,30370.0
2011,Denver,620684.0
2011,Dolores,2025.0
2011,Douglas,292478.0
2011,Eagle,51649.0
2011,El Paso,638289.0
2011,Elbert,23213.0
2011,Fremont,47406.0
2011,Garfield,56005.0
2011,Gilpin,5448.0
2011,Grand,14548.0
