"CountyName","State_Abbrev","FIPS_ID","FIPS_ID_Flag","FIPS_wState_ID","GNIS_ID","GNIS_ID_Flag","DOLA_LG_ID","DOLA_LG_ID_Flag","IBCC_Basin_CSV","NumBasin","Comment"
Lake,CO,065,G,08065,198149.000000,G,33001.000000,G,Arkansas,1,
Larimer,CO,069,G,08069,198150.000000,G,35015.000000,G,"North Platte, South Platte",2,
Las Animas,CO,071,G,08071,198151.000000,G,36006.000000,G,Arkansas,1,
Lincoln,CO,073,G,08073,198152.000000,G,37008.000000,G,"Arkansas, South Platte",2,
Logan,CO,075,G,08075,198153.000000,G,38008.000000,G,South Platte,1,
Mesa,CO,077,G,08077,198154.000000,G,39023.000000,G,"Colorado, Gunnison, Southwest",3,
Mineral,CO,079,G,08079,198155.000000,G,40002.000000,G,"Rio Grande, Southwest",2,
Moffat,CO,081,G,08081,198156.000000,G,41007.000000,G,Yampa,1,
Montezuma,CO,083,G,08083,198157.000000,G,42017.000000,G,Southwest,1,
Montrose,CO,085,G,08085,198158.000000,G,43001.000000,G,"Gunnison, Southwest",2,
Morgan,CO,087,G,08087,198159.000000,G,44010.000000,G,South Platte,1,
Otero,CO,089,G,08089,198160.000000,G,45012.000000,G,Arkansas,1,
Ouray,CO,091,G,08091,198161.000000,G,46005.000000,G,Gunnison,1,
Park,CO,093,G,08093,198162.000000,G,47012.000000,G,"Arkansas, South Platte",2,
Phillips,CO,095,G,08095,198163.000000,G,48007.000000,G,South Platte,1,
Pitkin,CO,097,G,08097,198164.000000,G,49010.000000,G,Colorado,1,
Prowers,CO,099,G,08099,198165.000000,G,50014.000000,G,Arkansas,1,
Pueblo,CO,101.000000,G,08101,198166.000000,G,51010.000000,G,Arkansas,1,
Rio Blanco,CO,103.000000,G,08103,198167.000000,G,52016.000000,G,Yampa,1,
Rio Grande,CO,105.000000,G,08105,198168.000000,G,53006.000000,G,"Rio Grande, Southwest",2,
Routt,CO,107.000000,G,08107,198169.000000,G,54012.000000,G,"Colorado, Yampa",2,
Saguache,CO,109.000000,G,08109,198170.000000,G,55007.000000,G,"Arkansas, Gunnison, Rio Grande",3,
San Juan,CO,111.000000,G,08111,198171.000000,G,56001.000000,G,"Gunnison, Rio Grande, Southwest",3,
San Miguel,CO,113.000000,G,08113,198172.000000,G,57010.000000,G,Southwest,1,
Sedgwick,CO,115.000000,G,08115,198173.000000,G,58009.000000,G,South Platte,1,
Summit,CO,117.000000,G,08117,198174.000000,G,59021.000000,G,Colorado,1,
Teller,CO,119.000000,G,08119,198175.000000,G,60010.000000,G,"Arkansas, Metro",2,
Washington,CO,121.000000,G,08121,198176.000000,G,61008.000000,G,South Platte,1,
Weld,CO,123.000000,G,08123,198177.000000,G,62056.000000,G,South Platte,1,
Yuma,CO,125.000000,G,08125,198178.000000,G,63012.000000,G,South Platte,1,
