"Year","County","PercentChangeSince2017"
2020,Park,5.3535
2020,Phillips,0.2288
2020,Pitkin,3.0912
2020,Prowers,0.6240
2020,Pueblo,3.2968
2020,Rio Blanco,0.6080
2020,Rio Grande,0.0773
2020,Routt,5.2729
2020,Saguache,2.2446
2020,San Juan,2.2690
2020,San Miguel,9.4799
2020,Sedgwick,-1.2734
2020,Summit,5.8173
2020,Teller,5.9698
2020,Washington,0.9102
2020,Weld,10.3784
2020,Yuma,1.6581
2021,Adams,8.7170
2021,Alamosa,4.9875
2021,Arapahoe,6.1538
2021,Archuleta,8.0627
2021,Baca,-1.9308
2021,Bent,3.5073
2021,Boulder,4.4506
2021,Broomfield,13.8242
2021,Chaffee,6.0099
2021,Cheyenne,-0.2648
2021,Clear Creek,2.4736
2021,Conejos,0.6541
2021,Costilla,1.1461
2021,Crowley,4.2599
2021,Custer,2.4375
2021,Delta,2.2379
2021,Denver,5.7526
2021,Dolores,1.1871
2021,Douglas,6.9486
2021,Eagle,6.6210
2021,El Paso,6.5096
2021,Elbert,18.5710
2021,Fremont,0.6306
2021,Garfield,8.4947
2021,Gilpin,1.8367
2021,Grand,8.2407
2021,Gunnison,4.6702
2021,Hinsdale,8.4358
2021,Huerfano,-0.3791
2021,Jackson,-1.2793
2021,Jefferson,4.6188
2021,Kiowa,0.4088
2021,Kit Carson,0.7411
2021,La Plata,9.0791
2021,Lake,2.8674
2021,Larimer,7.0254
2021,Las Animas,-0.2121
2021,Lincoln,5.2629
2021,Logan,4.5677
2021,Mesa,4.3090
2021,Mineral,3.9416
2021,Moffat,0.6670
2021,Montezuma,8.0389
2021,Montrose,6.1586
2021,Morgan,3.9934
2021,Otero,0.1806
2021,Ouray,4.5389
2021,Park,7.0814
2021,Phillips,0.3626
2021,Pitkin,3.9628
2021,Prowers,0.6962
2021,Pueblo,4.3647
2021,Rio Blanco,0.8039
2021,Rio Grande,0.0287
2021,Routt,7.0118
2021,Saguache,2.9102
2021,San Juan,3.0370
2021,San Miguel,12.6477
2021,Sedgwick,-1.6317
2021,Summit,7.7648
2021,Teller,7.5355
2021,Washington,1.2842
2021,Weld,14.0472
2021,Yuma,2.1545
2022,Adams,10.9509
2022,Alamosa,6.2233
2022,Arapahoe,7.7291
2022,Archuleta,10.0052
2022,Baca,-2.5777
2022,Bent,4.4170
2022,Boulder,5.5809
2022,Broomfield,17.3575
2022,Chaffee,7.4922
2022,Cheyenne,-0.3003
2022,Clear Creek,3.0335
2022,Conejos,0.9254
2022,Costilla,1.1968
2022,Crowley,5.4590
2022,Custer,2.9551
2022,Delta,2.8914
2022,Denver,7.3523
2022,Dolores,1.7097
2022,Douglas,8.8123
2022,Eagle,8.2438
2022,El Paso,8.1697
2022,Elbert,23.2029
2022,Fremont,0.7701
2022,Garfield,10.5946
2022,Gilpin,2.1804
2022,Grand,10.1985
2022,Gunnison,5.9787
2022,Hinsdale,10.9449
2022,Huerfano,-0.4458
2022,Jackson,-1.5505
2022,Jefferson,5.6313
2022,Kiowa,0.0494
2022,Kit Carson,1.1857
2022,La Plata,11.3877
2022,Lake,3.7626
2022,Larimer,8.9069
2022,Las Animas,-0.2122
2022,Lincoln,6.9078
2022,Logan,5.6646
2022,Mesa,5.3818
2022,Mineral,5.3572
2022,Moffat,0.7958
2022,Montezuma,10.1257
2022,Montrose,7.6776
2022,Morgan,5.0016
2022,Otero,0.0283
2022,Ouray,4.6723
2022,Park,8.7797
2022,Phillips,0.5377
2022,Pitkin,4.8069
2022,Prowers,0.7142
2022,Pueblo,5.4240
2022,Rio Blanco,0.9959
2022,Rio Grande,-0.0455
2022,Routt,8.8673
2022,Saguache,3.0547
2022,San Juan,3.7987
2022,San Miguel,15.8520
2022,Sedgwick,-1.8837
2022,Summit,9.7039
2022,Teller,9.0924
2022,Washington,1.6392
2022,Weld,17.9090
2022,Yuma,2.6161
2023,Adams,13.2042
2023,Alamosa,7.4016
2023,Arapahoe,9.3102
2023,Archuleta,11.9157
2023,Baca,-3.2616
2023,Bent,5.2516
2023,Boulder,6.8767
2023,Broomfield,20.9142
2023,Chaffee,8.9606
2023,Cheyenne,-0.3223
2023,Clear Creek,3.5653
2023,Conejos,1.2204
2023,Costilla,1.2401
2023,Crowley,6.7019
2023,Custer,3.4842
2023,Delta,3.5192
2023,Denver,9.1135
2023,Dolores,2.2962
2023,Douglas,10.7003
2023,Eagle,10.0406
2023,El Paso,9.8399
2023,Elbert,27.8610
2023,Fremont,0.8986
2023,Garfield,12.6862
2023,Gilpin,2.4964
2023,Grand,12.1217
2023,Gunnison,7.3168
2023,Hinsdale,13.5457
2023,Huerfano,-0.5074
2023,Jackson,-1.7743
2023,Jefferson,6.6360
2023,Kiowa,-0.3577
