"Year","County","PercentChangeSince2017","Basin"
2024,Boulder,8.1793,South Platte
2024,Broomfield,24.4879,Metro
2024,Cheyenne,-0.3198,"South Platte, Arkansas"
2024,Clear Creek,4.0703,South Platte
2024,Denver,11.0384,Metro
2024,Douglas,12.5829,Metro
2024,Elbert,32.9293,"Metro, Arkansas"
2024,Gilpin,2.7909,South Platte
2024,Jefferson,7.4541,Metro
2024,Kit Carson,2.2249,South Platte
2024,Larimer,12.6838,South Platte
2024,Lincoln,9.5835,"Arkansas, South Platte"
2024,Logan,7.8056,South Platte
2024,Morgan,7.0369,South Platte
2024,Park,12.0854,South Platte
2024,Phillips,0.8775,South Platte
2024,Sedgwick,-1.9521,South Platte
2024,Teller,12.1648,"Arkansas, South Platte"
2024,Washington,2.2840,South Platte
2024,Weld,25.8357,South Platte
2024,Yuma,3.4658,South Platte
2025,Adams,17.7610,Metro
2025,Arapahoe,12.4929,Metro
2025,Boulder,9.4908,South Platte
2025,Broomfield,28.0755,Metro
2025,Cheyenne,-0.2943,"South Platte, Arkansas"
2025,Clear Creek,4.5550,South Platte
2025,Denver,13.1338,Metro
2025,Douglas,14.4677,Metro
2025,Elbert,38.0131,"Metro, Arkansas"
2025,Gilpin,3.0702,South Platte
2025,Jefferson,8.2574,Metro
2025,Kit Carson,2.8177,South Platte
2025,Larimer,14.5664,South Platte
2025,Lincoln,10.9728,"Arkansas, South Platte"
2025,Logan,8.8562,South Platte
2025,Morgan,8.0792,South Platte
2025,Park,13.6997,South Platte
2025,Phillips,1.0521,South Platte
2025,Sedgwick,-2.0172,South Platte
2025,Teller,13.4699,"Arkansas, South Platte"
2025,Washington,2.5840,South Platte
2025,Weld,29.9107,South Platte
2025,Yuma,3.8703,South Platte
2026,Adams,20.0596,Metro
2026,Arapahoe,14.0952,Metro
2026,Boulder,10.8113,South Platte
2026,Broomfield,31.6734,Metro
2026,Cheyenne,-0.2454,"South Platte, Arkansas"
2026,Clear Creek,5.2935,South Platte
