"Year","County","PercentChangeSince2017","Basin"
2048,Adams,70.1660,Metro
2048,Arapahoe,38.8181,Metro
2048,Boulder,35.6600,South Platte
2048,Broomfield,39.9964,Metro
2048,Cheyenne,-10.3367,"South Platte, Arkansas"
2048,Clear Creek,29.2493,South Platte
2048,Denver,34.9463,Metro
2048,Douglas,43.6054,Metro
2048,Elbert,142.9211,"Metro, Arkansas"
2048,Gilpin,10.6869,South Platte
2048,Jefferson,19.6701,Metro
2048,Kit Carson,22.7632,South Platte
2048,Larimer,54.1835,South Platte
2048,Lincoln,47.9800,"Arkansas, South Platte"
2048,Logan,30.6024,South Platte
2048,Morgan,46.4180,South Platte
2048,Park,35.6768,South Platte
2048,Phillips,1.8617,South Platte
2048,Sedgwick,-3.6857,South Platte
2048,Teller,33.3921,"Arkansas, South Platte"
2048,Washington,-1.5352,South Platte
2048,Weld,131.6809,South Platte
2048,Yuma,11.8639,South Platte
2049,Adams,72.4411,Metro
2049,Arapahoe,38.9826,Metro
2049,Boulder,36.6025,South Platte
2049,Broomfield,39.7021,Metro
2049,Cheyenne,-10.9162,"South Platte, Arkansas"
2049,Clear Creek,30.4402,South Platte
2049,Denver,35.2225,Metro
2049,Douglas,43.9950,Metro
2049,Elbert,146.7088,"Metro, Arkansas"
2049,Gilpin,10.9055,South Platte
2049,Jefferson,19.8858,Metro
2049,Kit Carson,23.8415,South Platte
2049,Larimer,55.8661,South Platte
2049,Lincoln,49.5323,"Arkansas, South Platte"
2049,Logan,31.4506,South Platte
2049,Morgan,48.3422,South Platte
2049,Park,35.4082,South Platte
2049,Phillips,2.0343,South Platte
2049,Sedgwick,-3.5068,South Platte
2049,Teller,34.2079,"Arkansas, South Platte"
2049,Washington,-1.8383,South Platte
2049,Weld,136.2922,South Platte
2049,Yuma,12.1244,South Platte
2050,Adams,74.7193,Metro
2050,Arapahoe,39.1222,Metro
2050,Boulder,37.5411,South Platte
2050,Broomfield,39.4060,Metro
2050,Cheyenne,-11.4860,"South Platte, Arkansas"
2050,Clear Creek,31.6402,South Platte
2050,Denver,35.4664,Metro
2050,Douglas,44.3310,Metro
2050,Elbert,150.4703,"Metro, Arkansas"
2050,Gilpin,11.1260,South Platte
2050,Jefferson,20.1022,Metro
2050,Kit Carson,24.9615,South Platte
2050,Larimer,57.5458,South Platte
2050,Lincoln,51.0774,"Arkansas, South Platte"
2050,Logan,32.2961,South Platte
2050,Morgan,50.2849,South Platte
2050,Park,35.1436,South Platte
2050,Phillips,2.2142,South Platte
2050,Sedgwick,-3.3197,South Platte
2050,Teller,35.0373,"Arkansas, South Platte"
2050,Washington,-2.1357,South Platte
2050,Weld,140.9237,South Platte
2050,Yuma,12.3794,South Platte
